ID,Nome,Idade,Gênero,Estado,Departamento,Salário,Data_Contratação,Produto,Vendas_Mensais
1229,Kaique,46,F,SP,Comercial,"R$ 12.944,53",2024-11-27,Produto A,49
1230,Otávio,46,F,MG,Operações,"R$ 9.760,90",2024-05-10,Produto D,122
1231,Carlos,40,M,ES,Comercial,"R$ 9.905,78",2019-12-28,Produto C,0
1232,Daniela,41,F,GO,Comercial,"R$ 7.879,70",2022-06-21,Produto B,254
1233,Tiago,32,M,PR,Marketing,"R$ 12.301,98",2015-06-13,Produto B,283
1234,Tiago,64,F,SP,Marketing,"R$ 6.777,91",2018-09-03,Produto B,19
1235,Otávio,19,M,SP,TI,"R$ 4.801,67",2016-11-04,Produto B,147
1236,Helena,42,F,MG,RH,"R$ 5.159,83",2022-11-20,Produto C,45
1237,Gabriel,47,M,PE,Financeiro,"R$ 7.731,31",2019-06-02,Produto D,118
1238,Igor,21,M,PR,Marketing,"R$ 6.498,73",2016-09-21,Produto C,133
1239,Ana,52,M,ES,Marketing,"R$ 9.208,81",2020-12-01,Produto D,271
1240,Fernanda,22,M,RJ,Comercial,"R$ 8.156,97",2024-01-26,Produto A,216
1241,Quésia,22,M,GO,TI,"R$ 13.036,62",2018-04-10,Produto C,3
1242,Helena,44,F,SP,TI,"R$ 5.513,94",2019-01-16,Produto B,176
1243,Ricardo,41,F,MG,Marketing,"R$ 6.677,83",2016-07-21,Produto B,300
1244,Gabriel,58,M,MG,TI,"R$ 6.108,38",2015-10-04,Produto C,183
1245,Tiago,59,M,BA,Financeiro,"R$ 4.258,42",2017-01-27,Produto A,176
1246,Fernanda,27,M,PR,TI,"R$ 8.665,55",2016-05-29,Produto C,264
1247,Sofia,42,M,MG,Marketing,"R$ 3.895,87",2019-03-01,Produto C,247
1248,Gabriel,36,F,SP,Operações,"R$ 13.471,55",2021-05-29,Produto C,243
1249,Daniela,18,M,MG,RH,"R$ 3.433,56",2015-07-17,Produto A,44
1250,Ana,33,F,RJ,Operações,"R$ 8.479,78",2024-06-07,Produto C,65
1251,Tiago,22,M,PE,Financeiro,"R$ 9.160,70",2016-07-05,Produto D,54
1252,Helena,63,F,PE,Comercial,"R$ 5.416,87",2024-12-14,Produto A,227
1253,Otávio,52,F,PR,Comercial,"R$ 14.023,86",2017-05-19,Produto A,254
1254,Tiago,43,M,ES,Financeiro,"R$ 9.889,74",2020-08-25,Produto A,230
1255,Sofia,33,F,MG,RH,"R$ 4.574,36",2018-07-06,Produto D,171
1256,Marcos,59,M,PE,RH,"R$ 3.086,75",2022-10-21,Produto B,273
1257,Fernanda,34,F,GO,Financeiro,"R$ 3.104,62",2021-05-03,Produto D,299
1258,Marcos,30,F,GO,Comercial,"R$ 8.881,57",2017-12-13,Produto C,222
1259,Otávio,18,F,RJ,RH,"R$ 10.907,69",2023-06-28,Produto D,258
1260,Carlos,56,M,RJ,Marketing,"R$ 13.002,48",2016-06-07,Produto A,90
1261,Ricardo,45,F,PE,Financeiro,"R$ 6.632,41",2022-02-18,Produto D,235
1262,Natália,22,F,PR,Operações,"R$ 9.888,92",2019-12-09,Produto A,33
1263,Kaique,34,M,PE,TI,"R$ 3.357,27",2019-05-22,Produto B,248
1264,Igor,22,M,GO,RH,"R$ 2.863,45",2018-10-27,Produto B,128
1265,Otávio,59,F,MG,TI,"R$ 6.699,91",2017-02-06,Produto D,101
1266,Laura,43,M,SP,RH,"R$ 4.910,89",2019-12-15,Produto A,288
1267,Daniela,19,M,BA,TI,"R$ 4.292,72",2016-04-18,Produto A,134
1268,Ana,31,M,GO,Operações,"R$ 9.493,61",2020-09-10,Produto D,161
1269,Igor,24,F,BA,Financeiro,"R$ 4.686,50",2021-08-11,Produto D,227
1270,Sofia,44,F,RJ,Marketing,"R$ 5.892,00",2021-07-26,Produto C,177
1271,Igor,62,F,BA,Operações,"R$ 5.129,42",2016-07-19,Produto C,17
1272,Eduardo,27,M,GO,RH,"R$ 2.378,77",2016-01-08,Produto A,77
1273,Daniela,37,M,RJ,Financeiro,"R$ 5.898,78",2015-12-15,Produto C,8
1274,Helena,60,M,PE,Comercial,"R$ 4.045,28",2015-12-31,Produto D,30
1275,Daniela,18,F,RS,Financeiro,"R$ 7.430,40",2023-06-07,Produto B,231
1276,Gabriel,59,M,PR,RH,"R$ 3.954,50",2018-05-29,Produto A,34
1277,Helena,49,F,BA,TI,"R$ 4.532,26",2022-08-08,Produto B,82
1278,Paula,53,F,GO,Financeiro,"R$ 12.673,17",2023-01-23,Produto C,75
1279,Natália,54,F,SC,Financeiro,"R$ 3.473,07",2017-01-29,Produto C,40
1280,Eduardo,45,F,SC,RH,"R$ 14.327,39",2016-12-07,Produto B,151
1281,Sofia,20,M,SC,TI,"R$ 8.064,18",2019-02-12,Produto C,157
1282,Ricardo,47,F,PR,Marketing,"R$ 14.855,90",2019-10-18,Produto A,121
1283,Ricardo,32,M,ES,Financeiro,"R$ 12.235,69",2019-02-20,Produto B,139
1284,Bruno,37,M,BA,Comercial,"R$ 11.197,52",2018-03-09,Produto D,138
1285,Quésia,24,M,BA,RH,"R$ 2.757,27",2021-11-29,Produto A,277
1286,Daniela,49,M,SC,Comercial,"R$ 12.663,87",2018-01-11,Produto C,243
1287,Kaique,35,M,RS,Operações,"R$ 11.274,05",2016-10-01,Produto D,1
1288,Tiago,37,M,MG,Operações,"R$ 13.403,85",2020-02-21,Produto A,217
1289,Eduardo,33,M,PE,TI,"R$ 8.966,90",2015-11-04,Produto D,213
1290,Helena,64,M,PE,Operações,"R$ 8.574,39",2015-03-09,Produto B,206
1291,Natália,24,M,PE,Comercial,"R$ 12.294,37",2016-08-12,Produto A,63
1292,Quésia,58,F,PE,Marketing,"R$ 3.908,90",2018-03-09,Produto C,84
1293,Ana,52,M,BA,Financeiro,"R$ 14.747,10",2021-10-16,Produto B,26
1294,Ana,55,F,PR,Operações,"R$ 12.021,90",2023-11-27,Produto A,285
1295,Ricardo,52,M,RS,Financeiro,"R$ 8.514,38",2015-09-10,Produto B,293
1296,Otávio,27,F,RS,Comercial,"R$ 14.117,21",2019-05-25,Produto A,270
1297,Julia,26,F,RS,Financeiro,"R$ 6.963,68",2015-08-22,Produto D,77
1298,Igor,19,M,RJ,TI,"R$ 10.154,61",2022-09-25,Produto B,2
1299,Julia,19,M,PE,Marketing,"R$ 14.792,30",2016-08-18,Produto D,267
1300,Sofia,26,F,SP,Financeiro,"R$ 8.951,82",2022-11-29,Produto B,50
1301,Ricardo,61,M,RJ,Comercial,"R$ 5.287,82",2020-05-16,Produto D,50
1302,Quésia,20,M,MG,Operações,"R$ 9.178,41",2023-11-11,Produto B,104
1303,Bruno,58,M,RS,TI,"R$ 8.542,42",2023-03-13,Produto D,194
1304,Quésia,48,M,BA,Marketing,"R$ 12.034,17",2015-06-15,Produto B,145
1305,Kaique,52,M,PR,Operações,"R$ 14.223,30",2019-07-31,Produto D,263
1306,Fernanda,63,F,RS,TI,"R$ 5.450,21",2020-09-19,Produto A,6
1307,Quésia,27,M,SP,Comercial,"R$ 7.352,02",2021-04-18,Produto B,269
1308,Kaique,57,F,BA,Comercial,"R$ 5.501,04",2019-07-16,Produto B,171
1309,Sofia,20,M,ES,TI,"R$ 9.065,45",2018-09-03,Produto D,263
1310,Paula,34,F,BA,Comercial,"R$ 4.447,02",2022-02-11,Produto C,24
1311,Gabriel,30,F,MG,Comercial,"R$ 13.212,63",2015-08-05,Produto C,203
1312,Daniela,38,F,SP,RH,"R$ 9.296,94",2024-07-08,Produto A,74
1313,Gabriel,55,F,BA,Comercial,"R$ 5.541,69",2024-05-13,Produto A,209
1314,Ricardo,58,F,RS,Marketing,"R$ 2.698,99",2024-09-03,Produto A,27
1315,Gabriel,48,F,PE,RH,"R$ 12.522,33",2020-09-22,Produto B,252
1316,Ana,37,M,ES,RH,"R$ 13.774,16",2016-10-25,Produto B,16
1317,Helena,51,F,PE,Financeiro,"R$ 14.188,90",2022-07-29,Produto D,282
1318,Helena,57,F,GO,TI,"R$ 9.659,13",2016-11-27,Produto B,240
1319,Marcos,63,F,RS,RH,"R$ 9.554,81",2015-04-02,Produto D,143
1320,Fernanda,36,M,GO,TI,"R$ 4.485,48",2022-12-22,Produto D,54
1321,Ricardo,24,F,RJ,Financeiro,"R$ 6.871,42",2019-11-23,Produto B,294
1322,Bruno,38,M,RJ,Financeiro,"R$ 12.569,29",2016-12-18,Produto D,154
1323,Kaique,26,M,SP,RH,"R$ 6.636,08",2023-01-03,Produto A,103
1324,Gabriel,27,M,MG,Financeiro,"R$ 13.407,72",2015-07-25,Produto A,157
1325,Otávio,56,F,RJ,Operações,"R$ 13.711,53",2019-08-11,Produto D,191
1326,Ricardo,58,F,SC,Financeiro,"R$ 3.508,56",2016-02-16,Produto D,121
1327,Eduardo,61,M,MG,Operações,"R$ 8.694,93",2016-10-03,Produto A,262
1328,Bruno,32,F,SC,RH,"R$ 7.186,67",2021-02-14,Produto C,157
1329,Tiago,43,M,ES,TI,"R$ 4.605,32",2020-02-06,Produto C,284
1330,Carlos,58,M,ES,RH,"R$ 9.657,30",2019-11-18,Produto A,298
1331,Helena,43,F,MG,Marketing,"R$ 4.723,19",2016-11-13,Produto A,91
1332,Kaique,19,F,PE,Marketing,"R$ 3.334,09",2020-07-26,Produto D,205
1333,Marcos,19,M,PE,RH,"R$ 8.347,46",2019-07-18,Produto C,293
1334,Natália,26,F,PR,RH,"R$ 5.629,56",2019-07-08,Produto D,253
1335,Quésia,56,F,SP,TI,"R$ 7.744,89",2018-10-25,Produto C,108
1336,Paula,43,F,PE,Operações,"R$ 9.369,25",2016-12-02,Produto C,31
1337,Bruno,55,F,SP,Operações,"R$ 6.116,35",2021-10-26,Produto D,266
1338,Natália,36,F,PR,RH,"R$ 13.270,57",2024-06-05,Produto A,46
1339,Natália,45,F,ES,TI,"R$ 13.434,13",2019-10-31,Produto C,201
1340,Gabriel,35,M,SP,Operações,"R$ 11.771,05",2016-04-27,Produto D,268
1341,Helena,44,F,RJ,Marketing,"R$ 3.542,09",2018-09-17,Produto D,86
1342,Julia,52,F,SP,RH,"R$ 5.607,48",2022-01-24,Produto B,252
1343,Quésia,53,F,BA,Financeiro,"R$ 7.564,81",2019-07-20,Produto D,45
1344,Carlos,22,F,RS,RH,"R$ 11.936,68",2019-09-17,Produto D,90
1345,Quésia,57,M,BA,Operações,"R$ 5.035,98",2017-07-04,Produto C,275
1346,Fernanda,53,M,SC,Operações,"R$ 10.101,88",2018-08-16,Produto B,26
1347,Ana,40,M,SC,Operações,"R$ 2.600,62",2022-04-22,Produto C,169
1348,Paula,62,F,SC,Operações,"R$ 12.786,29",2021-11-30,Produto A,298
1349,Carlos,34,F,PR,RH,"R$ 8.805,78",2021-04-26,Produto D,211
1350,Quésia,29,M,PR,Marketing,"R$ 14.900,06",2021-07-31,Produto C,51
1351,Igor,65,M,PR,RH,"R$ 4.633,48",2015-01-09,Produto A,156
1352,Daniela,19,M,RS,TI,"R$ 9.707,61",2015-05-01,Produto B,202
1353,Otávio,52,F,RS,Financeiro,"R$ 14.428,50",2018-07-15,Produto C,188
1354,Kaique,27,F,SP,Operações,"R$ 12.831,49",2024-07-05,Produto A,61
1355,Paula,22,F,RJ,TI,"R$ 3.407,32",2021-02-02,Produto B,55
1356,Kaique,64,M,MG,TI,"R$ 13.027,51",2015-04-21,Produto A,110
1357,Helena,32,M,GO,RH,"R$ 12.060,48",2020-07-01,Produto B,44
1358,Daniela,22,F,GO,RH,"R$ 7.290,44",2021-02-18,Produto A,120
1359,Paula,46,M,BA,TI,"R$ 3.835,27",2024-06-16,Produto C,242
1360,Tiago,30,F,GO,RH,"R$ 7.783,21",2023-02-18,Produto D,253
1361,Quésia,62,M,GO,Marketing,"R$ 6.794,08",2024-10-20,Produto C,171
1362,Marcos,28,M,PR,TI,"R$ 11.683,85",2023-01-06,Produto C,265
1363,Quésia,27,M,PE,Financeiro,"R$ 9.636,52",2016-12-11,Produto C,184
1364,Gabriel,26,F,GO,TI,"R$ 13.840,02",2024-12-05,Produto B,95
1365,Natália,26,M,GO,Financeiro,"R$ 4.668,58",2016-10-13,Produto D,145
1366,Ricardo,30,F,SP,Operações,"R$ 3.321,18",2024-06-26,Produto A,79
1367,Igor,30,F,RJ,Operações,"R$ 11.427,64",2016-03-05,Produto D,8
1368,Tiago,52,F,ES,Operações,"R$ 6.911,42",2020-08-12,Produto C,295
1369,Gabriel,25,M,ES,Marketing,"R$ 12.808,60",2016-11-11,Produto B,48
1370,Ana,34,M,PE,TI,"R$ 4.127,71",2021-09-01,Produto A,7
1371,Ricardo,36,F,SP,TI,"R$ 12.631,50",2023-10-10,Produto A,90
1372,Sofia,34,F,GO,TI,"R$ 3.448,23",2020-08-21,Produto C,279
1373,Carlos,36,M,BA,TI,"R$ 11.334,59",2017-02-06,Produto C,70
1374,Otávio,53,F,MG,TI,"R$ 13.906,92",2016-12-17,Produto C,297
1375,Paula,41,F,RJ,TI,"R$ 5.457,35",2024-10-21,Produto B,57
1376,Julia,49,M,PE,Financeiro,"R$ 3.198,31",2022-05-22,Produto D,140
1377,Tiago,63,M,SP,Marketing,"R$ 10.984,00",2021-08-19,Produto D,140
1378,Quésia,39,M,RS,Comercial,"R$ 12.685,44",2022-09-25,Produto C,283
1379,Kaique,31,F,SP,RH,"R$ 10.151,07",2019-07-08,Produto C,76
1380,Tiago,61,F,SP,Comercial,"R$ 13.574,18",2021-08-26,Produto B,127
1381,Igor,36,M,RJ,Marketing,"R$ 6.729,74",2019-04-11,Produto A,222
1382,Laura,30,M,PE,RH,"R$ 3.312,05",2016-10-14,Produto A,222
1383,Paula,53,M,SC,Comercial,"R$ 5.843,51",2024-06-03,Produto B,202
1384,Ana,54,F,MG,Marketing,"R$ 12.525,50",2024-06-28,Produto C,137
1385,Ricardo,60,F,BA,TI,"R$ 11.554,64",2020-03-31,Produto B,260
1386,Carlos,38,F,ES,Marketing,"R$ 11.477,59",2020-02-01,Produto B,156
1387,Julia,54,F,RJ,Financeiro,"R$ 14.004,56",2021-01-02,Produto A,76
1388,Ricardo,21,M,SC,Operações,"R$ 14.902,00",2022-04-16,Produto D,173
1389,Eduardo,59,F,PR,Financeiro,"R$ 11.114,44",2020-09-19,Produto A,218
1390,Sofia,65,F,RJ,Financeiro,"R$ 2.532,82",2017-01-12,Produto A,71
1391,Marcos,40,M,SC,Operações,"R$ 2.001,98",2020-09-15,Produto A,146
1392,Quésia,44,M,MG,Comercial,"R$ 12.791,27",2024-12-19,Produto D,254
1393,Igor,43,M,PR,RH,"R$ 9.644,56",2020-10-04,Produto A,21
1394,Marcos,24,F,PR,Financeiro,"R$ 12.103,59",2024-05-09,Produto B,73
1395,Gabriel,41,M,ES,Operações,"R$ 3.268,19",2018-06-04,Produto A,217
1396,Daniela,54,F,MG,RH,"R$ 10.842,23",2024-11-27,Produto B,11
1397,Bruno,29,F,RJ,TI,"R$ 10.906,28",2023-06-16,Produto C,161
1398,Helena,38,F,BA,Comercial,"R$ 8.420,46",2018-03-24,Produto C,53
1399,Natália,33,F,SP,RH,"R$ 11.531,85",2024-11-19,Produto B,95
1400,Helena,26,M,PE,Financeiro,"R$ 14.908,00",2021-04-28,Produto B,268
1401,Helena,43,M,MG,Marketing,"R$ 14.796,82",2017-10-10,Produto C,204
1402,Quésia,26,F,RJ,TI,"R$ 7.570,56",2023-04-13,Produto D,35
1403,Eduardo,46,M,PE,Operações,"R$ 2.647,33",2023-08-15,Produto A,82
1404,Ana,23,M,PR,TI,"R$ 3.350,26",2019-02-07,Produto A,236
1405,Tiago,48,M,MG,RH,"R$ 13.337,50",2022-05-02,Produto D,83
1406,Fernanda,43,M,ES,Operações,"R$ 14.704,64",2015-05-13,Produto A,14
1407,Bruno,59,M,BA,TI,"R$ 10.551,88",2015-10-15,Produto B,124
1408,Tiago,46,M,PR,TI,"R$ 11.875,84",2019-07-28,Produto A,266
1409,Laura,30,M,PE,Comercial,"R$ 7.104,71",2022-01-11,Produto A,263
1410,Julia,51,F,RJ,Financeiro,"R$ 12.416,22",2018-06-25,Produto D,48
1411,Julia,61,M,BA,Comercial,"R$ 12.295,06",2023-08-18,Produto C,177
1412,Gabriel,41,M,GO,TI,"R$ 2.647,73",2019-12-05,Produto D,62
1413,Laura,44,M,ES,RH,"R$ 7.649,33",2023-11-16,Produto B,1
1414,Otávio,21,M,ES,Comercial,"R$ 12.804,29",2023-11-20,Produto C,228
1415,Fernanda,33,M,RS,Operações,"R$ 8.243,63",2022-07-28,Produto C,25
1416,Ana,59,F,SC,TI,"R$ 6.364,93",2023-08-15,Produto D,167
1417,Bruno,59,F,PR,Financeiro,"R$ 10.527,40",2020-01-31,Produto D,298
1418,Laura,21,F,BA,Financeiro,"R$ 3.749,74",2017-06-20,Produto D,99
1419,Quésia,18,M,SP,Marketing,"R$ 5.387,31",2016-03-24,Produto B,143
1420,Gabriel,59,M,MG,RH,"R$ 3.151,36",2015-04-29,Produto C,38
1421,Carlos,50,F,ES,RH,"R$ 11.869,19",2016-06-30,Produto B,19
1422,Laura,25,M,PR,Financeiro,"R$ 4.317,97",2016-01-07,Produto C,29
1423,Eduardo,54,F,MG,RH,"R$ 12.377,58",2016-10-16,Produto D,157
1424,Quésia,24,M,PR,Operações,"R$ 9.119,65",2017-11-18,Produto D,78
1425,Quésia,33,F,RJ,Comercial,"R$ 11.055,82",2024-03-31,Produto C,84
1426,Eduardo,52,F,SC,RH,"R$ 9.517,58",2022-11-14,Produto B,53
1427,Ana,59,M,PE,Marketing,"R$ 6.381,60",2024-04-26,Produto D,191
1428,Natália,58,F,PE,Operações,"R$ 5.922,39",2023-01-08,Produto D,55
1429,Marcos,45,F,RS,TI,"R$ 14.619,13",2020-04-01,Produto A,211
1430,Gabriel,63,F,MG,Financeiro,"R$ 9.094,17",2024-02-12,Produto B,34
1431,Julia,26,M,RJ,Marketing,"R$ 7.298,11",2018-07-11,Produto B,48
1432,Fernanda,37,M,RJ,RH,"R$ 3.403,36",2018-04-27,Produto B,155
1433,Helena,30,F,PR,Operações,"R$ 5.798,74",2024-05-24,Produto A,265
1434,Ricardo,51,F,ES,Comercial,"R$ 12.901,42",2020-03-02,Produto C,4
1435,Ana,57,F,GO,Comercial,"R$ 3.112,12",2016-02-29,Produto B,266
1436,Fernanda,30,M,SC,Operações,"R$ 4.860,18",2023-01-29,Produto B,145
1437,Bruno,55,M,SC,Operações,"R$ 3.957,17",2017-08-15,Produto C,269
1438,Carlos,49,M,RS,Financeiro,"R$ 12.574,02",2021-04-15,Produto D,113
1439,Daniela,50,F,GO,Comercial,"R$ 3.377,03",2022-10-10,Produto B,2
1440,Kaique,58,M,GO,Operações,"R$ 9.889,05",2023-02-17,Produto B,91
1441,Daniela,28,F,SC,Operações,"R$ 13.330,75",2024-03-27,Produto B,119
1442,Julia,46,F,ES,Financeiro,"R$ 3.826,00",2023-09-28,Produto B,116
1443,Fernanda,40,F,ES,RH,"R$ 5.391,47",2016-10-01,Produto B,19
1444,Laura,52,M,GO,Operações,"R$ 7.117,15",2017-08-23,Produto C,132
1445,Marcos,31,F,RJ,Marketing,"R$ 14.807,80",2019-11-17,Produto D,54
1446,Tiago,19,M,RS,Comercial,"R$ 11.221,53",2017-03-23,Produto C,2
1447,Laura,44,F,SP,RH,"R$ 6.659,51",2019-07-02,Produto B,270
1448,Marcos,22,F,ES,Comercial,"R$ 3.879,29",2022-02-02,Produto A,110
1449,Helena,38,F,BA,Financeiro,"R$ 14.129,40",2021-05-24,Produto B,121
1450,Paula,60,F,RS,RH,"R$ 12.041,19",2019-04-15,Produto C,289
1451,Igor,28,F,PE,RH,"R$ 14.164,92",2024-04-30,Produto A,68
1452,Fernanda,60,M,MG,Comercial,"R$ 2.264,97",2015-11-15,Produto D,171
1453,Kaique,65,F,MG,Marketing,"R$ 3.272,69",2018-06-06,Produto B,258
1454,Bruno,48,F,PR,Financeiro,"R$ 8.915,96",2016-09-03,Produto C,187
1455,Tiago,18,F,BA,TI,"R$ 11.937,33",2020-02-06,Produto C,113
1456,Ana,65,M,RJ,Marketing,"R$ 12.145,41",2018-04-11,Produto A,219
1457,Carlos,57,F,PE,Operações,"R$ 2.143,42",2016-08-07,Produto D,75
1458,Gabriel,32,M,GO,Operações,"R$ 8.089,35",2020-01-24,Produto B,28
1459,Bruno,24,F,PR,RH,"R$ 11.391,90",2024-05-18,Produto D,201
1460,Sofia,39,M,MG,TI,"R$ 6.893,21",2021-05-03,Produto C,17
1461,Natália,52,M,PE,Operações,"R$ 4.041,27",2018-06-26,Produto C,71
1462,Helena,47,F,SC,Financeiro,"R$ 2.540,55",2020-10-11,Produto C,73
1463,Ricardo,40,M,RJ,RH,"R$ 7.650,75",2016-07-06,Produto C,129
1464,Tiago,21,M,RJ,Financeiro,"R$ 14.156,58",2016-04-25,Produto B,87
1465,Igor,26,F,SP,Operações,"R$ 7.215,92",2015-01-06,Produto D,181
1466,Bruno,44,M,PE,Marketing,"R$ 3.763,53",2017-07-26,Produto D,266
1467,Igor,48,F,SC,Operações,"R$ 14.173,61",2018-12-17,Produto D,226
1468,Bruno,60,M,SC,Financeiro,"R$ 5.639,62",2017-06-19,Produto C,144
1469,Carlos,31,M,PR,RH,"R$ 3.587,59",2021-06-13,Produto D,99
1470,Ana,26,M,RJ,TI,"R$ 11.776,78",2021-03-05,Produto B,138
1471,Marcos,22,M,SP,Financeiro,"R$ 13.568,29",2016-10-20,Produto A,72
1472,Quésia,31,F,MG,TI,"R$ 4.800,14",2023-08-24,Produto B,149
1473,Kaique,27,F,SC,Financeiro,"R$ 8.762,03",2018-02-08,Produto B,24
1474,Gabriel,32,F,BA,Operações,"R$ 10.921,37",2018-08-21,Produto B,104
1475,Tiago,18,F,RJ,RH,"R$ 12.987,46",2024-03-22,Produto D,254
1476,Daniela,51,M,MG,Marketing,"R$ 8.512,75",2023-11-15,Produto B,291
1477,Otávio,50,F,SP,Marketing,"R$ 10.303,42",2023-04-01,Produto A,47
1478,Bruno,43,F,MG,Operações,"R$ 14.110,92",2020-04-17,Produto C,86
1479,Quésia,19,F,PE,Comercial,"R$ 9.766,76",2024-06-05,Produto D,197
1480,Ricardo,29,F,PR,Comercial,"R$ 2.489,50",2022-12-19,Produto B,117
1481,Marcos,52,F,BA,Operações,"R$ 6.882,21",2018-06-30,Produto C,186
1482,Quésia,35,F,BA,RH,"R$ 5.907,47",2023-08-04,Produto D,131
1483,Marcos,26,M,MG,RH,"R$ 10.101,82",2022-10-31,Produto A,170
1484,Fernanda,30,M,ES,Financeiro,"R$ 6.140,40",2021-04-21,Produto C,162
1485,Tiago,59,F,MG,TI,"R$ 10.850,91",2016-11-19,Produto B,38
1486,Daniela,47,M,SC,TI,"R$ 12.757,15",2015-08-19,Produto A,264
1487,Fernanda,27,F,SC,Financeiro,"R$ 5.857,99",2021-10-31,Produto D,223
1488,Eduardo,36,M,GO,Financeiro,"R$ 8.404,13",2017-07-16,Produto D,142
1489,Otávio,57,F,SP,Marketing,"R$ 3.684,60",2015-04-10,Produto C,221
1490,Helena,22,M,SC,Comercial,"R$ 5.836,12",2020-05-07,Produto C,270
1491,Julia,58,F,BA,Operações,"R$ 12.422,51",2018-09-25,Produto D,104
1492,Bruno,57,M,BA,RH,"R$ 2.730,86",2020-02-12,Produto D,10
1493,Paula,30,M,PR,Operações,"R$ 6.401,19",2019-10-26,Produto C,287
1494,Natália,22,M,GO,TI,"R$ 12.222,22",2019-12-23,Produto D,32
1495,Igor,47,M,PE,RH,"R$ 11.157,21",2020-03-01,Produto C,88
1496,Natália,59,M,BA,Marketing,"R$ 8.740,29",2022-07-07,Produto D,147
1497,Kaique,18,F,SC,Financeiro,"R$ 9.775,60",2019-10-06,Produto C,105
1498,Eduardo,63,F,PR,RH,"R$ 9.560,60",2015-06-21,Produto D,165
1499,Helena,62,F,BA,Operações,"R$ 3.368,69",2023-07-02,Produto A,291
1500,Otávio,53,M,SC,RH,"R$ 12.307,91",2018-04-11,Produto C,262
1501,Otávio,59,M,GO,Operações,"R$ 4.831,62",2015-01-29,Produto C,27
1502,Fernanda,34,F,PE,RH,"R$ 14.467,70",2016-12-04,Produto D,172
1503,Otávio,49,F,RJ,Comercial,"R$ 10.439,39",2021-08-21,Produto A,214
1504,Natália,53,M,MG,Financeiro,"R$ 11.970,07",2016-12-26,Produto D,17
1505,Fernanda,52,M,ES,TI,"R$ 7.107,65",2022-08-17,Produto B,109
1506,Igor,53,F,PR,Operações,"R$ 2.435,91",2023-04-21,Produto A,61
1507,Igor,41,M,SC,Financeiro,"R$ 11.302,70",2022-08-10,Produto C,183
1508,Igor,30,M,GO,TI,"R$ 6.261,00",2015-05-04,Produto B,72
1509,Sofia,49,F,PR,Financeiro,"R$ 14.688,41",2024-06-26,Produto D,3
1510,Sofia,39,M,RJ,Comercial,"R$ 6.820,19",2023-11-25,Produto B,193
1511,Laura,57,F,BA,Financeiro,"R$ 14.729,47",2022-12-25,Produto D,65
1512,Daniela,42,F,SC,TI,"R$ 14.304,47",2016-07-09,Produto B,97
1513,Ana,24,M,RS,Marketing,"R$ 9.536,56",2018-05-07,Produto C,5
1514,Bruno,32,M,SC,Comercial,"R$ 8.809,13",2024-02-24,Produto C,198
1515,Tiago,30,M,SC,Financeiro,"R$ 13.697,23",2022-05-30,Produto B,239
1516,Fernanda,56,F,BA,Comercial,"R$ 4.546,84",2021-05-22,Produto C,223
1517,Eduardo,26,F,SP,Comercial,"R$ 3.845,94",2018-01-23,Produto C,28
1518,Marcos,28,M,PE,RH,"R$ 3.638,97",2018-10-19,Produto B,229
1519,Carlos,31,M,SC,Operações,"R$ 9.794,14",2020-10-24,Produto B,95
1520,Sofia,65,F,MG,Operações,"R$ 8.296,51",2019-09-08,Produto B,77
1521,Ana,44,F,RJ,TI,"R$ 3.150,71",2015-07-14,Produto B,45
1522,Kaique,52,M,GO,RH,"R$ 14.024,73",2017-04-01,Produto B,151
1523,Julia,18,F,SC,Operações,"R$ 14.933,16",2015-06-17,Produto A,111
1524,Julia,59,M,BA,Financeiro,"R$ 2.965,16",2017-10-07,Produto B,30
1525,Fernanda,25,M,ES,RH,"R$ 2.805,43",2021-04-12,Produto A,9
1526,Ricardo,56,M,ES,RH,"R$ 9.803,69",2019-05-02,Produto D,256
1527,Laura,18,F,SC,TI,"R$ 11.275,95",2020-02-08,Produto C,272
1528,Eduardo,26,M,RJ,Comercial,"R$ 5.796,02",2015-12-10,Produto B,70
1529,Sofia,34,M,BA,Operações,"R$ 5.321,92",2024-05-16,Produto B,214
1530,Igor,38,M,MG,RH,"R$ 7.672,04",2016-12-04,Produto B,57
1531,Kaique,33,M,PE,Marketing,"R$ 2.501,06",2024-09-08,Produto A,43
1532,Paula,29,M,SP,Operações,"R$ 3.163,70",2015-09-14,Produto A,88
1533,Igor,20,F,RS,Comercial,"R$ 4.573,86",2024-01-19,Produto D,66
1534,Otávio,33,F,RS,TI,"R$ 4.172,35",2017-02-21,Produto B,91
1535,Quésia,52,F,BA,RH,"R$ 2.604,07",2020-11-25,Produto A,47
1536,Helena,64,F,BA,Marketing,"R$ 14.815,24",2015-05-31,Produto C,296
1537,Kaique,65,M,GO,Operações,"R$ 6.022,94",2016-07-25,Produto A,45
1538,Sofia,48,F,RS,Financeiro,"R$ 14.818,25",2018-03-26,Produto A,73
1539,Natália,51,F,MG,Financeiro,"R$ 12.933,33",2021-10-10,Produto C,133
1540,Ana,20,M,BA,Marketing,"R$ 6.530,31",2024-01-04,Produto A,273
1541,Sofia,53,F,SC,Comercial,"R$ 12.744,56",2021-04-05,Produto A,74
1542,Igor,30,M,SC,Financeiro,"R$ 2.741,79",2019-07-26,Produto B,28
1543,Bruno,44,M,PE,Comercial,"R$ 9.475,03",2015-09-07,Produto C,30
